deleted,enable,score,content,contentTags,editor,heading,summary,createdAt,updatedAt
false,true,0,"'In order to get a good yield, only the seed of the best varieties should be spoken. At the time of Barui, do Ankuluta Achartayan. Accuracy, characteristics and yield potential of synthetic species for different regions\nThe following table is shown below.'",null,'admin','Use of Shudhu Beej',null,'2024-08-01T04:24:17.158','2024-08-01T04:24:17.158'
false,true,0,'Tidal Mite:\nIdentification: It is a very small octapedic which burns on the lower surface of the leaves and stays inside them and grazes the leaves like serus. The infested leaf turns red and becomes hard.\nTreatment: One of the following chemicals should be sprayed. Dimethoate (30 EC) 1 litre per ha\nor Chlorpyriphos 25 EC 1.5-2.00L/Ha',null,'admin',null,null,'2024-08-01T04:24:17.158','2024-08-01T04:24:17.158'
false,true,0,"'⮚ When the earthly damage level of white corn is reached, the body chemical such as dimethoate 30 EC is added. 1 l. or\nImi Dacloprid 250ml/ha It should be done at the rate of .\n⮚ Bt seed is found to be 5% of outbreak pods from other legumes. 5 percent WP 1.5 kg\nIndoxacarb 14.5 SC 400ml, Kynu Lafas 25 EC 1.50 L Fenvalerate 20 E.C. 750ml Cypermethrin 10 E.C. 750ml 2.8 E.C. 450ml Copy of. Dissolve in 500-600 liters of water at the rate of 500-600 liters and sprinkle it.\nDisease: Yellow mosaic:\nIdentification: Yellowsanu har on leaves'",null,'admin',null,null,'2024-08-01T04:24:17.158','2024-08-01T04:24:17.158'
false,true,0,"'There is a possibility of bacteria dying. In fields where mangu pods are being sown for the first time or after a long time\nYes, be sure to use Culver.\nIrrigation: If there is no rainfall and there is irrigation facility, the need is to provide two irrigation pegs and\nIt should be given at the time of pod formation.'",null,'admin',null,null,'2024-08-01T04:24:17.158','2024-08-01T04:24:17.158'
false,true,0,"'This is the IMI Cycloprid 17.8 SL. 200ml or ACTM PR 20WP. 150 grams per ha. It should be done at the rate of .\nIdentification: It is spread by a fungus called Fuju eryum. It inhibits water and food from growing in plants\nThe leaves turn yellow and the plant becomes dry. It becomes dark in color and\nOn removing the bark, black stripes are found from the root to the height of the stem. Medical treatment:\n⮚ Co-cropping of pigeon pea with sorghum reduces the incidence of the disease to a certain extent.\n⮚ Mix Thiram and Carbendazim in an average of 2:1 and give 3 grams per kg. Seed treatment\nI want A.\n⮚ Trichoderma 10 grams Pulses Derma Formalu Shane Obtained. Cure the seed at the rate of\nThe disease can be prevented.\n⮚ Use for resistant species. IPA 15-06, IPA-206, IPA 15-02, UPAS-120, BDN-2, 1, BSMR-853\nIt should be done at the time of arrival and pod formation.\n⮚ 5-6 adult moths of chickpea legume borer on average 2-3 days of continuous arrival per donkey or 2 to 3 diseases:\n⮚ Do not harvest pigeon pea for 3-4 years in the field where the outbreak of the disease is high.'",null,'admin','Pigeonpea disease:',null,'2024-08-01T04:24:17.158','2024-08-01T04:24:17.158'
false,true,0,"'Pour the first side of the janu and bvu nai. Plant a bed planter on the fences of corn. Region-specific\nUse refined seeds of highly improved species. Plants by desilting\nFixed Vacant Rate Make sure the number is strict. Systematic application of fertilizers should be done on the basis of soil test.\nIn areas of zinc deficiency, 20 kg should be given at the time of last fertility. Seg sulphate should be mixed in soil at the rate of per hectare and sown. Limits/Weeds are used to destroy weeds. Atrazine chemicals should be used on the basis of culture. Timely prevention of pests/diseases in crops should be done. Kiln Covering\nPrune/harvest leaves when they are 75% yellow. Seeds should be purchased from the nearest government institution or reliable institution.\nAmong Kharif crops, maize is the main crop of the state after paddy. Its cultivation, grain/grain cultivation What is it for the sake of food and every thing?\nGoes to. It is clear from these figures that more than 70 acres of area under maize is rainfed due to which productivity is low. For good yield of maize, it is necessary to adopt timely weed control, timely use of fertilizers, sesi gram and agricultural protection tools. By adopting intensive methodology, the yield of the scr/clump variety can be easily increased to 35-40 q. Per hectare can be obtained.\nAlso, being a short duration crop, it is very important for multicrop farming.\nIntensive Methods:\nBhumi Utility. Strong loam soil with good drainage is suitable for maize cultivation.'",null,'admin','Main Points',null,'2024-08-01T04:24:17.158','2024-08-01T04:24:17.158'
false,true,0,"'To protect the crop from soil borne diseases, 25 kg of Trichoderma Harzi Anum 2% WP should be used. Bring 60-75 kg of dung manure per hectare, give a light dash of water and keep it in shade for 8-10 days and then bring it in the fields at the time of last harvest. Termites white girdle, scythes, root blades, cuts, etc.\nFor protection, 2.5 kg of 1% Jablu biopesticides or 60-75 kg per hectare is recommended. After bringing cow dung in manure and beating it with light water and keeping it in shade for 8-10 days, then the last time of the bath\nThe land should be brought to the ground.\nFarm Preparation\nThe first animal is caused by the soil turning plough and the other by the same animal cultivator or rotavator.\nAhi A.'",null,'admin','Land Treatment',null,'2024-08-01T04:24:17.158','2024-08-01T04:24:17.158'
false,true,0,'| Species Name | Ripening Period (Day) | Yield (q/ha)   |\n|---------------------------|------------------|---------------|\n| Sankr Ganga-11 | 100-105 | 45-50 |\n| Sartaj | 45-50 | |\n| HQUPM-5. HQQM-5. HQPPM | 8 | |\n| (QPM) | 105-110 | 50-55 |',null,'admin','Use of Shudhu Beej',null,'2024-08-01T04:24:17.158','2024-08-01T04:24:17.158'
false,true,0,'| Duck Con-107 | 90-95 | 40-45 | |\n|------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|---------|-------|\n| JH-3459 | 80-85 | 35-40 | |\n| Lighting | 80-85 | 35-40 | |\n| Maize-5 | 80-85 | 35-45 | |\n| Vivak Sakar Mecca-27 | 75-60 | 25-30 | |\n| Power | -1 (QPM) | 80-85 | 30-35 |\n| CoH (M) 8 (2014) | 90-95 | 65-70 | |\n| NMH-920 | 110-115 | 60-70 | |\n| (2012) | (a) Late Maize Season should be grown from mid-May to mid-June. So that the plants are well established in the field before the rain starts and a weed is also done after 15 days of sowing of bamboo. Early maturing maize should be harvested by the end of the season and up to 10 wet seeds during the rainy season. |\n| L.#NAME?. 32-81 (2013) | 90-95 | 60-75 | |\n| (Yavu Raj Gold) EMA-1123 G (3342) | 60-85 | 35-40 | |\n| BIO-9637 BIO-9682 | 90-95 | 40-45 | |\n| b) Morning | 40-45 | | | |\n| Navjot | 85-90 | 35-40 | |\n| Azad Uttam | 80-85 | 30-35 | |\n| Shweta White | 85-90 | 35-40 | |\n| Progress | 80-85 | 30-35 | |\n| Pride | 80-85 | 30-35 | |\n| Kachan | 75-80 | 25-30 | |\n| Saryu Rya | 75-80 | 25-30 | |\n| Shiyats | Maize-2 | 75-80 | 35-40 |\n| (2016) | (b) Seed treatment is done by sowing seeds if | |',null,'admin','Use of Shudhu Beej',null,'2024-08-01T04:24:17.158','2024-08-01T04:24:17.158'
false,true,0,"'Dosage per ha0 60-75 kg Bring cow dung manure and give a light splash of water and keep it in shade for 8-10 days.\nAfter this, bring the last animal to the fields at the time of harvest. To protect against pests like termites, white worms, satruworms, root trunks, cutworms, etc., the 1% WP of Basisiana is used. 2.5 kg of biopesticides Dosage per hectare 60-75 kg Bring dung manure and give a light splash of water and keep it in shade for 8-10 days, but after the festival of E, the last batch should be brought to the ground.\nField preparation: The first animal is from the soil turning plough and the other 2-3 animals are used for advanced agricultural equipment or\nThe field should be prepared by the cultivator.\nTime and Timings of Bavu Ai : Bajreki Bavu Rai should be completed from mid to mid August. Babu ai 50 cm. Lay behind the plough in a 4 cm deep Kandu on the door.\nSeed rate: 4-5 kg Per hectare.\nSeed treatment: If the seed is not treated, the bone is 1 kg of seed. The seeds should be treated with 250 grams of thiram. Ergot cannabis can be removed by dipping 20% salt solution.\nUse of fertilizers: Use fertilizers based on soil testing. If results of soil testing are not available, 80-100 kg of nitrogen, 40 kg of phosphorus and 40 kg of potash and indigenous species of soil will be recommended for the species.\nFor 40-50 kg nitrogen, 25 kg Phosphorus and 25 kg Potash per ha. Use. Phosphorus Potash\nHalf the quantity of mercury and half the amount of nitrogen from the body. First basal dressing and half beat of Shashe nitrogen'",null,'admin','millet',null,'2024-08-01T04:24:17.158','2024-08-01T04:24:17.158'
